submission_ref,name,public_score,private_score
54891742,s373_oof_bundle_bundle_714159_891801_732124_765608_734903_833867,0.95256,0.95018
54891756,s374_oof_bundle_bundle_714159_891801_734903,0.95256,0.95018
54891787,s375_joseph_oof_714159,0.95256,0.95018
54891804,s376_joseph_oof_891801,0.95256,0.95019
54919369,s377_public_art_v6_95264,0.95264,0.95018
54919641,s378_oof_bundle_lucifer_aru_k08,0.95263,0.95017
54920648,s379_marginal_793885_to_unhealthy,0.95264,0.95018
54920924,s380_marginal_764134_to_unhealthy,0.95264,0.95018
54921065,s381_marginal_947304_to_unhealthy,0.95264,0.95018
54921174,s382_marginal_859551_to_unhealthy,0.95264,0.95018
54921384,s383_marginal_843846_to_unhealthy,0.95264,0.95018
54921600,s384_marginal_910039_to_unhealthy,0.95264,0.95018
54921725,s385_marginal_980396_to_unhealthy,0.95264,0.95018
54921835,s386_marginal_768753_to_unhealthy,0.95264,0.95018
54938859,s387_public_art_v7_95264,0.95264,0.95022
54938944,s388_art_v7_ablation_878262_fit,0.95264,0.95020
54939024,s389_art_v7_ablation_884567_unhealthy,0.95264,0.95019
54939177,s390_complete_rule_consensus_u2r_k08,0.95265,0.95019
54939243,s391_complete_rule_consensus_u2r_k16,0.95265,0.95018
54939290,s392_complete_rule_consensus_u2r_k16b,0.95266,0.95020
54939366,s393_complete_rule_consensus_u2r_k24,0.95266,0.95019
54939440,s394_complete_rule_consensus_u2r_k24c,0.95259,0.95021
54939483,s395_failed_bundle_high_margin_k04,0.95259,0.95021
54939626,s396_failed_bundle_clean_pair_k02,0.95266,0.95020
54970349,s397_public_anhad_v7_95267,0.95267,0.95020
54970483,s398_anhad_v7_plus_clean_pair_k02,0.95267,0.95020
54970596,s399_anhad_v7_restore_core_trio_k03,0.95267,0.95021
54970720,s400_public_aled_v3_95268,0.95268,0.95021
54970858,s401_aled_d3_restore_t7_ablation_k10,0.95268,0.95022
54970919,s402_aled_t7_ablation_k07,0.95268,0.95022
54970965,s403_aled_fit_recovery_729644,0.95268,0.95021
54971031,s404_aled_unhealthy_recovery_n3,0.95268,0.95020
54971086,s405_aled_u2a_690904,0.95268,0.95021
54971168,s406_aled_f2a_837342,0.95268,0.95021
54995817,s407_public_aled_v4_95272,0.95272,0.95022
54996082,s408_aled_v4_ablate_881611,0.95272,0.95022
54996130,s409_aled_v4_ablate_807219,0.95272,0.95022
54996180,s410_aled_v4_ablate_831925,0.95272,0.95022
54996227,s411_aled_v4_ablate_860529,0.95272,0.95022
54996285,s412_aled_v4_ablate_820839,0.95272,0.95022
54996349,s413_aled_v4_f2a_981746,0.95262,0.95022
54996392,s414_aled_v4_ablate_701976,0.95272,0.95022
54996462,s415_aled_v4_ablate_902307,0.95272,0.95022
54996756,s416_aled_v4_ablate_813878,0.95272,0.95022
55023393,s417_public_art_latest_95273,0.95273,0.95023
55023854,s418_art_ablate_925312,0.95273,0.95022
55023953,s419_art_ablate_817401,0.95272,0.95023
55024056,s420_danush_u2a_968206,0.95273,0.95023
55024155,s421_danush_u2a_853509,0.95273,0.95023
55024268,s422_danush_u2a_778347,0.95273,0.95023
55024374,s423_danush_u2a_942726,0.95273,0.95021
55024466,s424_danush_u2a_703659,0.95273,0.95023
55024574,s425_danush_u2a_974683,0.95273,0.95023
55024674,s426_boundary_a2u_829168,0.95273,0.95022
55043009,s427_public_rayk_verified_95275,0.95275,0.95023
55043134,s428_rayk_ablate_892445,0.95275,0.95023
55043189,s429_rayk_ablate_731125,0.95275,0.95025
55043250,s430_rayk_ablate_744702,0.95274,0.95023
55043286,s431_rayk_ablate_762588,0.95274,0.95023
55043396,s432_danush_u2a_823898,0.95275,0.95023
55043462,s433_danush_u2a_742088,0.95275,0.95023
55043499,s434_danush_f2a_720864,0.95275,0.95023
55043534,s435_danush_f2a_903930,0.95275,0.95023
55043569,s436_rule_u2a_982839,0.95275,0.95023
55097257,s437_public_danush_v7_95288,0.95288,0.95022
55097495,s438_art_u2a_833325,0.95288,0.95022
55097538,s439_art_u2a_779493,0.95288,0.95022
55097582,s440_inverse_a2u_958727,0.95288,0.95022
55097625,s441_inverse_a2u_946833,0.95288,0.95022
55097668,s442_art_f2a_913483,0.95288,0.95022
55097713,s443_art_f2a_982288,0.95288,0.95022
55097758,s444_inverse_a2u_757687,0.95288,0.95022
55097911,s445_aled_raw_supported_4,0.95288,0.95023
55097979,s446_art_u2a_792297,0.95288,0.95022
55123364,s447_public_art_v14_95289,0.95289,0.95026
55123520,s448_fit_965778,0.95289,0.95029
55123573,s449_unhealthy_735608,0.95289,0.95026
55123627,s450_unhealthy_697845,0.95288,0.95026
55123729,s451_art_restore_895917,0.95289,0.95026
